cod;nm_categoria;de_categoria
A00;A00   Colera;Cólera
A01;A01   Febres tifoide e paratifoide;Febres tifóide e paratifóide
A02;A02   Outr infecc p/Salmonella;Outras infecções por Salmonella
A03;A03   Shiguelose;Shiguelose
A04;A04   Outr infecc intestinais bacter;Outras infecções intestinais bacterianas
A05;A05   Outr intox alimentares bacter NCOP;Outras intoxicações alimentares bacterianas, não classificadas em outra parte
A06;A06   Amebiase;Amebíase
A07;A07   Outr doenc intestinais p/protozoarios;Outras doenças intestinais por protozoários
A08;A08   Infecc intestinais virais outr e as NE;Infecções intestinais virais, outras e as não especificadas
A09;A09   Diarreia e gastroenterite orig infecc presum;Diarréia e gastroenterite de origem infecciosa presumível
A15;A15   Tuberc respirat c/conf bacteriol e histolog;Tuberculose respiratória, com confirmação bacteriológica e histológica
A16;A16   Tuberc vias respirat s/conf bacter histol;Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica
A17;A17   Tuberc do sist nervoso;Tuberculose do sistema nervoso
A18;A18   Tuberc de outr orgaos;Tuberculose de outros órgãos
A19;A19   Tuberc miliar;Tuberculose miliar
A20;A20   Peste;Peste
A21;A21   Tularemia;Tularemia
A22;A22   Carbunculo;Carbúnculo
A23;A23   Brucelose;Brucelose
A24;A24   Mormo e melioidose;Mormo e melioidose
A25;A25   Febres transm p/mordedura de rato;Febres transmitidas por mordedura de rato
A26;A26   Erisipeloide;Erisipelóide
A27;A27   Leptospirose;Leptospirose
A28;A28   Outr doenc bacter zoonoticas NCOP;Outras doenças bacterianas zoonóticas não classificadas em outra parte
A30;A30   Hanseniase;Hanseníase [doença de Hansen] [lepra]
A31;A31   Infecc dev outr micobacterias;Infecções devidas a outras micobactérias
A32;A32   Listeriose;Listeriose [listeríase]
A33;A33   Tetano do recem-nascido;Tétano do recém-nascido [neonatal]
A34;A34   Tetano obstetrico;Tétano obstétrico
A35;A35   Outr tipos de tetano;Outros tipos de tétano
A36;A36   Difteria;Difteria
A37;A37   Coqueluche;Coqueluche
A38;A38   Escarlatina;Escarlatina
A39;A39   Infecc meningogocica;Infecção meningogócica
A40;A40   Septicemia estreptococica;Septicemia estreptocócica
A41;A41   Outr septicemias;Outras septicemias
A42;A42   Actinomicose;Actinomicose
A43;A43   Nocardiose;Nocardiose
A44;A44   Bartonelose;Bartonelose
A46;A46   Erisipela;Erisipela
A48;A48   Outr doenc bacter NCOP;Outras doenças bacterianas não classificadas em outra parte
A49;A49   Infecc bacter de localiz NE;Infecção bacteriana de localização não especificada
A50;A50   Sifilis congen;Sífilis congênita
