Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
"Indicador: Proporção de crianças de 1 (um) ano de idade vacinadas na APS contra Difteria, Tétano, Coqueluche, Hepatite B, infecções causadas por haemophilus influenzae tipo b e Poliomielite inativada"
Dados Preliminares:
Considerado apenas (eSF e eAP) válidas para o componente de desempenho
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2022 Q1 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
SP;354700;SANTA MARIA DA SERRA;0;0;0;0;0;0;18;0;6236;
MG;316660;SERRA DA SAUDADE;0;1;0;0;1;891;1;0;776;
TO;170270;AURORA DO TOCANTINS;0;10;0;10;6;3471;6;167;3783;
GO;521940;SANTA RITA DO ARAGUAIA;0;10;0;3;10;4575;20;30;8935;
PR;410670;CRUZEIRO DO SUL;0;11;0;0;11;3163;15;0;4449;
PI;221062;SEBASTIÃO BARROS;0;11;0;11;12;4285;10;92;3451;
SP;351820;GUARARAPES;0;12;0;1;12;3830;103;8;33100;
MG;310610;BELMIRO BRAGA;0;12;0;12;5;3426;5;240;3425;
RS;431575;RIOZINHO;0;13;0;13;12;4441;13;108;4676;
PA;150640;SANTA CRUZ DO ARARI;0;13;0;13;8;3475;23;163;10314;
MG;310680;BIAS FORTES;0;14;0;14;5;3314;5;280;3329;
MG;313680;JURAMENTO;0;14;0;14;8;4282;8;175;4345;
MG;312600;FLORESTAL;0;15;0;15;11;5602;15;136;7533;
MG;314230;MOEDA;0;15;0;15;12;5097;12;125;4934;
ES;320035;ALTO RIO NOVO;0;16;0;16;18;6099;23;89;7874;
PR;410655;CORUMBATAÍ DO SUL;0;16;0;9;16;4587;11;56;3127;
PI;220669;MURICI DOS PORTELAS;0;17;0;17;17;5350;29;100;9209;
PR;410045;ALTAMIRA DO PARANÁ;0;18;0;0;18;3758;8;0;1682;
PR;410465;CARAMBEÍ;0;18;0;18;13;3252;94;138;23825;
PR;412795;TUPÃSSI;0;19;0;11;19;6654;23;58;8109;
RJ;330530;SÃO SEBASTIÃO DO ALTO;0;19;0;19;21;7745;26;90;9387;
PR;411260;JARDIM OLINDA;0;2;0;0;2;1310;2;0;1320;
RS;432218;TUPANCI DO SUL;0;2;0;0;2;1480;2;0;1459;
RS;432035;SENTINELA DO SUL;0;2;0;1;2;1056;11;50;5609;
RS;431075;IVORÁ;0;2;0;2;1;2469;1;200;1881;
PR;411275;JESUÍTAS;0;22;0;1;22;6949;26;5;8330;
SP;351860;GUARIBA;0;22;0;6;22;6036;147;27;40487;
RO;110050;NOVO HORIZONTE DO OESTE;0;24;0;20;24;7716;26;83;8329;
MG;310640;BELO VALE;0;29;0;20;29;9201;24;69;7719;
