Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
"Indicador: Proporção de gestantes com pelo menos 6 (seis) consultas pré-natal realizadas, sendo a 1ª (primeira) até a 12ª (décima segunda) semana de gestação"
Dados Preliminares:
Considerado apenas equipes (eSF e eAP) homologadas
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2022 Q1 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
SP;354700;SANTA MARIA DA SERRA;0;0;0;0;0;0;18;0;6236;
SP;350115;ALUMÍNIO;0;0;0;0;0;0;64;0;18767;
SC;421550;SANTA CECÍLIA;0;0;0;0;0;0;82;0;16918;
MG;316660;SERRA DA SAUDADE;0;1;0;0;1;891;1;0;776;
RS;431164;LINHA NOVA;0;0;0;0;0;1281;0;0;1719;
MT;510120;ARAGUAINHA;0;0;0;0;0;956;0;0;946;
GO;521225;LAGOA SANTA;0;1;0;0;1;1105;1;0;1621;
RS;430925;GUABIJU;0;1;0;0;1;1564;1;0;1490;
SC;420075;ALTO BELA VISTA;0;1;0;0;1;1894;1;0;1926;
RS;432065;SILVEIRA MARTINS;0;1;0;0;1;2254;1;0;2374;
MG;315470;RIBEIRÃO VERMELHO;0;10;0;2;10;4701;9;20;4047;
RS;432235;UNIÃO DA SERRA;0;1;0;1;0;1301;0;0;1118;
RS;430593;CORONEL PILAR;0;1;0;1;1;1661;1;100;1614;
RS;431046;IPIRANGA DO SUL;0;1;0;1;1;2113;1;100;1880;
SP;352760;LUÍS ANTÔNIO;0;10;0;0;10;3430;43;0;15292;
SP;352700;LINDÓIA;0;10;0;0;10;5973;14;0;8092;
SP;354810;SANTO ANTÔNIO DO JARDIM;0;10;0;1;10;3863;16;10;5940;
MG;311205;CANTAGALO;0;10;0;1;10;3977;11;10;4551;
GO;521940;SANTA RITA DO ARAGUAIA;0;10;0;1;10;4575;20;10;8935;
SP;353325;NOVAIS;0;10;0;10;10;5205;11;100;5945;
PR;410185;ARIRANHA DO IVAÍ;0;11;0;11;5;2611;4;220;2066;
MG;313850;LIBERDADE;0;10;0;2;10;5118;10;20;5031;
SP;354210;RAFARD;0;10;0;5;10;3062;29;50;9101;
MG;317115;VERMELHO NOVO;0;10;0;5;10;5500;9;50;4846;
MG;314040;MARMELÓPOLIS;0;10;0;8;10;3123;9;80;2728;
MG;314190;MINDURI;0;11;0;0;11;3487;12;0;3893;
MG;316810;TAPIRA;0;11;0;0;11;4698;11;0;4832;
MG;315530;RIO MANSO;0;11;0;0;11;5469;12;0;5879;
GO;521290;MARZAGÃO;0;11;0;11;12;3105;9;92;2250;
SP;351270;CORUMBATAÍ;0;11;0;11;13;4254;12;85;4064;
SP;354690;SANTA LÚCIA;0;12;0;3;12;4137;26;25;8854;
MG;314950;PEQUERI;0;11;0;11;7;3851;6;157;3330;
