Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
Indicador: Proporção de gestantes com atendimento odontológico realizado
Dados Preliminares:
Considerado apenas (eSF e eAP) válidas para o componente de desempenho
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2022 Q1 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
SP;354700;SANTA MARIA DA SERRA;0;0;0;0;0;0;18;0;6236;
MT;510120;ARAGUAINHA;0;0;0;0;0;956;0;0;946;
GO;521225;LAGOA SANTA;0;1;0;0;1;1105;1;0;1621;
RS;430925;GUABIJU;0;1;0;0;1;1564;1;0;1490;
SC;420075;ALTO BELA VISTA;0;1;0;0;1;1894;1;0;1926;
RS;432065;SILVEIRA MARTINS;0;1;0;0;1;2254;1;0;2374;
MG;316660;SERRA DA SAUDADE;0;1;0;0;1;891;1;0;776;
RS;432235;UNIÃO DA SERRA;0;1;0;1;0;1301;0;0;1118;
RS;431725;SANTA TEREZA;0;1;0;1;0;1934;0;0;1726;
SP;352760;LUÍS ANTÔNIO;0;10;0;0;10;3430;43;0;15292;
SP;352700;LINDÓIA;0;10;0;0;10;5973;14;0;8092;
SP;354810;SANTO ANTÔNIO DO JARDIM;0;10;0;1;10;3863;16;10;5940;
MG;311205;CANTAGALO;0;10;0;1;10;3977;11;10;4551;
GO;520145;APARECIDA DO RIO DOCE;0;10;0;10;2;3089;2;500;2474;
RS;432132;TAQUARUÇU DO SUL;0;10;0;10;8;3735;7;125;3077;
MG;316340;SÃO JOSÉ DO GOIABAL;0;10;0;4;10;5491;10;40;5387;
PR;412490;SÃO JOÃO DO CAIUÁ;0;10;0;6;10;3429;17;60;5837;
MG;314190;MINDURI;0;11;0;0;11;3487;12;0;3893;
MG;316810;TAPIRA;0;11;0;0;11;4698;11;0;4832;
SP;353230;NATIVIDADE DA SERRA;0;11;0;11;4;2606;10;275;6642;
RS;430511;CENTENÁRIO;0;11;0;11;5;3142;5;220;2877;
PR;410670;CRUZEIRO DO SUL;0;11;0;2;11;3163;15;18;4449;
SP;354165;QUADRA;0;11;0;2;11;3823;11;18;3854;
RS;430870;GAURAMA;0;11;0;7;11;6145;10;64;5489;
SP;354360;RIFAINA;0;11;0;8;11;4058;10;73;3640;
MG;315610;RITÁPOLIS;0;12;0;1;12;5377;10;8;4562;
RO;110155;TEIXEIRÓPOLIS;0;12;0;12;13;5354;10;92;4233;
SP;352490;JAMBEIRO;0;12;0;12;14;5261;18;86;6717;
SP;354690;SANTA LÚCIA;0;12;0;3;12;4137;26;25;8854;
PR;412217;RIO BRANCO DO IVAÍ;0;13;0;0;13;4149;13;0;4109;
RS;431030;ILÓPOLIS;0;13;0;0;13;4295;12;0;4066;
RS;431695;SANTA MARIA DO HERVAL;0;13;0;0;13;5042;16;0;6364;
MG;315020;PIEDADE DE PONTE NOVA;0;13;0;13;12;4420;11;108;4140;
SP;355420;TEJUPÁ;0;13;0;13;8;2294;15;163;4491;
RS;430620;CRUZEIRO DO SUL;0;13;0;7;13;5131;31;54;12402;
MG;316320;SÃO JOSÉ DO ALEGRE;0;13;0;8;13;4566;12;62;4210;
RJ;330320;NILÓPOLIS;0;135;0;26;135;41508;529;19;162693;
MG;312710;FRUTAL;0;139;0;2;139;36159;230;1;60012;
RS;431162;LINDOLFO COLLOR;0;14;0;1;14;5261;16;7;6125;
RS;432340;VILA MARIA;0;14;0;14;7;4658;7;200;4363;
