Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
Indicador: Proporção de gestantes com realização de exames para sífilis e HIV
Dados Preliminares:
Considerado apenas (eSF e eAP) válidas para o componente de desempenho
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2022 Q1 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
SP;354700;SANTA MARIA DA SERRA;0;0;0;0;0;0;18;0;6236;
MT;510120;ARAGUAINHA;0;0;0;0;0;956;0;0;946;
GO;521225;LAGOA SANTA;0;1;0;0;1;1105;1;0;1621;
RS;430925;GUABIJU;0;1;0;0;1;1564;1;0;1490;
SC;420075;ALTO BELA VISTA;0;1;0;0;1;1894;1;0;1926;
RS;432065;SILVEIRA MARTINS;0;1;0;0;1;2254;1;0;2374;
MG;316660;SERRA DA SAUDADE;0;1;0;0;1;891;1;0;776;
RS;432235;UNIÃO DA SERRA;0;1;0;1;0;1301;0;0;1118;
RS;431725;SANTA TEREZA;0;1;0;1;0;1934;0;0;1726;
RS;430593;CORONEL PILAR;0;1;0;1;1;1661;1;100;1614;
SP;352760;LUÍS ANTÔNIO;0;10;0;0;10;3430;43;0;15292;
SP;352700;LINDÓIA;0;10;0;0;10;5973;14;0;8092;
SP;354810;SANTO ANTÔNIO DO JARDIM;0;10;0;1;10;3863;16;10;5940;
GO;521940;SANTA RITA DO ARAGUAIA;0;10;0;1;10;4575;20;10;8935;
SP;350040;ÁGUAS DA PRATA;0;10;0;1;10;5389;16;10;8221;
MG;311720;CONCEIÇÃO DAS PEDRAS;0;10;0;10;5;2955;5;200;2813;
SC;421185;OURO VERDE;0;10;0;10;6;2522;5;167;2207;
RS;432060;SEVERIANO DE ALMEIDA;0;10;0;10;6;4196;5;167;3631;
RS;432132;TAQUARUÇU DO SUL;0;10;0;10;8;3735;7;125;3077;
RS;431125;LAGOÃO;0;10;0;10;8;4402;12;125;6461;
MG;313850;LIBERDADE;0;10;0;2;10;5118;10;20;5031;
MG;316340;SÃO JOSÉ DO GOIABAL;0;10;0;4;10;5491;10;40;5387;
MG;317115;VERMELHO NOVO;0;10;0;5;10;5500;9;50;4846;
MG;311020;CAJURI;0;10;0;8;10;4807;8;80;3974;
MG;314190;MINDURI;0;11;0;0;11;3487;12;0;3893;
MG;316810;TAPIRA;0;11;0;0;11;4698;11;0;4832;
RS;430185;BARRA DO GUARITA;0;11;0;11;10;3644;9;110;3257;
RS;431795;SANTO EXPEDITO DO SUL;0;11;0;11;3;2401;3;367;2305;
PR;410670;CRUZEIRO DO SUL;0;11;0;2;11;3163;15;18;4449;
SP;354165;QUADRA;0;11;0;2;11;3823;11;18;3854;
RS;430870;GAURAMA;0;11;0;7;11;6145;10;64;5489;
SP;354360;RIFAINA;0;11;0;8;11;4058;10;73;3640;
MG;315610;RITÁPOLIS;0;12;0;1;12;5377;10;8;4562;
SP;353250;NEVES PAULISTA;0;12;0;12;12;5629;19;100;8923;
MG;311040;CAMACHO;0;12;0;12;2;3566;2;600;2869;
RS;430030;ALECRIM;0;12;0;12;9;7323;7;133;5827;
PA;150250;CHAVES;0;12;0;2;12;2768;107;17;23948;
RS;431575;RIOZINHO;0;12;0;9;12;4441;13;75;4676;
PR;412217;RIO BRANCO DO IVAÍ;0;13;0;0;13;4149;13;0;4109;
RS;431030;ILÓPOLIS;0;13;0;0;13;4295;12;0;4066;
RS;431695;SANTA MARIA DO HERVAL;0;13;0;0;13;5042;16;0;6364;
