Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
"Indicador: Proporção de pessoas com hipertensão, com consulta e pressão arterial aferida no semestre"
Dados Preliminares:
Considerado apenas equipes (eSF e eAP) homologadas
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2022 Q1 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
SC;421550;SANTA CECÍLIA;0;0;0;0;0;0;23.6;0;16918;
SP;350115;ALUMÍNIO;0;0;0;0;0;0;24.2;0;18767;
SP;354700;SANTA MARIA DA SERRA;0;0;0;0;0;0;24.2;0;6236;
MG;312460;ESTRELA DALVA;0;578;0;578;564;2037;27.7;102;2325;
PI;221062;SEBASTIÃO BARROS;0;1011;0;672;1011;4285;23.6;66;3451;
SP;350995;CANAS;0;1235;0;839;1235;5103;24.2;68;5204;
PI;220669;MURICI DOS PORTELAS;0;1263;0;796;1263;5350;23.6;63;9209;
MG;310250;AMPARO DO SERRA;0;1818;0;1818;1291;4662;27.7;141;4678;
RS;432218;TUPANCI DO SUL;0;444;0;444;394;1480;26.6;113;1459;
PR;412310;SANTA AMÉLIA;0;527;0;322;527;2302;22.9;61;3266;
PR;410670;CRUZEIRO DO SUL;1;724;0;580;724;3163;22.9;80;4449;
MG;314570;OLIVEIRA FORTES;0;612;0;612;528;1907;27.7;116;2130;
MG;315860;SANTANA DO DESERTO;0;637;0;232;637;2298;27.7;36;3981;
MG;311470;CARVALHÓPOLIS;0;694;0;445;694;2504;27.7;64;3597;
MG;314040;MARMELÓPOLIS;0;884;0;884;865;3123;27.7;102;2728;
MG;310680;BIAS FORTES;0;985;0;985;918;3314;27.7;107;3329;
SP;352490;JAMBEIRO;1;1142;0;1142;1273;5261;24.2;90;6717;
SP;350040;ÁGUAS DA PRATA;1;1490;0;1490;1304;5389;24.2;114;8221;
ES;320250;IBIRAÇU;1;2454;0;1937;2454;9623;25.5;79;12591;
PR;411260;JARDIM OLINDA;1;300;0;61;300;1310;22.9;20;1320;
MT;510670;PONTE BRANCA;100;518;19;518;457;2115;21.6;113;1550;
RS;430225;BOA VISTA DO SUL;100;538;19;247;538;2021;26.6;46;2778;
MG;316556;SEM-PEIXE;1;836;0;836;721;2602;27.7;116;2606;
SP;353250;NEVES PAULISTA;10;1199;1;1199;1362;5629;24.2;88;8923;
MG;316810;TAPIRA;10;1301;1;955;1301;4698;27.7;73;4832;
MG;312015;CRISÓLITA;10;1443;1;989;1443;5210;27.7;69;6760;
SP;350670;BOA ESPERANÇA DO SUL;10;2098;0;2098;2251;9301;24.2;93;15018;
RJ;330475;SÃO FRANCISCO DE ITABAPOANA;10;5819;0;5819;6049;21528;28.1;96;42210;
GO;521350;MONTE ALEGRE DE GOIÁS;100;1337;7;1032;1337;5715;23.4;77;8684;
BA;290810;COCOS;100;3930;3;3094;3930;15595;25.2;79;18807;
AL;270050;BARRA DE SANTO ANTÔNIO;1007;4730;21;4730;4574;17196;26.6;103;16068;
SE;280700;SÃO MIGUEL DO ALEIXO;100;896;11;896;819;3638;22.5;109;3947;
PR;412280;SALGADO FILHO;100;949;11;949;1060;4631;22.9;90;3483;
MG;311920;COROACI;1000;3801;26;3801;2736;9878;27.7;139;9943;
RS;431260;MUÇUM;1003;1408;71;1408;1456;5474;26.6;97;4961;
MG;316970;TURMALINA;1003;5073;20;5073;5822;21019;27.7;87;20125;
SC;421660;SÃO JOSÉ;10043;40919;25;40919;48187;244606;19.7;85;250181;
RJ;330411;PORTO REAL;1005;6662;15;4581;6662;23707;28.1;69;19974;
SP;351110;CATANDUVA;10058;22318;45;22318;24460;101075;24.2;91;122497;
SE;280440;NEÓPOLIS;1007;4642;22;4642;3829;17017;22.5;121;18703;
SP;352480;JALES;1010;10918;9;10918;11992;49553;24.2;91;49201;
RN;240010;ACARI;1010;3759;27;3759;2621;11967;21.9;143;11121;
PR;411295;JURANDA;1008;2074;49;2074;2224;9713;22.9;93;7292;
GO;521120;ITAPURANGA;1008;5334;19;5334;6240;26665;23.4;85;25681;
PR;412860;VERÊ;1009;2153;47;2153;2110;9213;22.9;102;7174;
PR;411580;MEDIANEIRA;1009;7877;13;5519;7877;34396;22.9;70;46574;
PR;411720;NOVA OLÍMPIA;101;1567;6;1567;1567;6842;22.9;100;5826;
BA;291530;ITAGIMIRIM;101;1840;5;1840;1591;6314;25.2;116;6825;
PI;221039;SÃO MIGUEL DO FIDALGO;101;844;12;844;762;3227;23.6;111;3038;
SP;354540;SALTO GRANDE;1010;2338;43;2338;1850;7645;24.2;126;9364;
BA;290200;ARACATU;1017;3354;30;3354;3383;13426;25.2;99;13045;
MG;314740;PARAOPEBA;1012;5842;17;5842;6002;21667;27.7;97;24700;
