Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
"Indicador: Proporção de gestantes com pelo menos 6 (seis) consultas pré-natal realizadas, sendo a 1ª (primeira) até a 12ª (décima segunda) semana de gestação"
Dados Preliminares:
Considerado apenas (eSF e eAP) válidas para o componente de desempenho
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2022 Q2 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
SP;354700;SANTA MARIA DA SERRA;0;0;0;0;0;0;18;0;6298;
SC;421550;SANTA CECÍLIA;0;0;0;0;0;0;82;0;17004;
RS;431725;SANTA TEREZA;0;0;0;0;0;1940;0;0;1722;
RS;430192;BARRA DO RIO AZUL;0;1;0;0;1;2017;1;0;1621;
GO;521225;LAGOA SANTA;0;1;0;1;1;1157;1;100;1652;
SP;350040;ÁGUAS DA PRATA;0;10;0;0;10;5326;16;0;8262;
MG;316590;SENADOR MODESTINO GONÇALVES;0;10;0;10;10;4059;10;100;4056;
GO;520570;CÓRREGO DO OURO;0;10;0;2;10;2759;8;20;2254;
GO;521940;SANTA RITA DO ARAGUAIA;0;10;0;2;10;4750;20;20;9110;
MG;317210;VOLTA GRANDE;0;10;0;6;10;4253;12;60;5270;
MG;316340;SÃO JOSÉ DO GOIABAL;0;10;0;6;10;5489;10;60;5356;
MG;316810;TAPIRA;0;11;0;0;11;4729;11;0;4890;
SP;352700;LINDÓIA;0;11;0;0;11;6518;14;0;8201;
PR;410670;CRUZEIRO DO SUL;0;11;0;1;11;3177;15;9;4430;
MG;314670;PALMA;0;11;0;11;11;6373;11;100;6606;
RS;430370;CAMPINA DAS MISSÕES;0;11;0;11;13;6184;11;85;5325;
RS;431125;LAGOÃO;0;11;0;11;8;4340;12;138;6469;
MG;315530;RIO MANSO;0;11;0;3;11;5605;12;27;5924;
SE;280700;SÃO MIGUEL DO ALEIXO;0;11;0;5;11;3573;12;45;3964;
RS;430870;GAURAMA;0;11;0;7;11;6189;10;64;5447;
MG;314190;MINDURI;0;11;0;9;11;3618;12;82;3891;
MG;312600;FLORESTAL;0;11;0;9;11;5674;15;82;7602;
SP;354690;SANTA LÚCIA;0;12;0;0;12;4166;26;0;8889;
MG;316330;SÃO JOSÉ DO DIVINO;0;12;0;12;7;3891;7;171;3851;
MG;313800;LARANJAL;0;12;0;3;12;7057;12;25;6856;
RN;240870;PARAÚ;0;12;0;8;12;3565;13;67;3732;
SP;354210;RAFARD;0;13;0;1;13;4087;29;8;9126;
PI;221062;SEBASTIÃO BARROS;0;13;0;13;12;4275;10;108;3434;
MG;312705;FRONTEIRA DOS VALES;0;13;0;13;13;4515;13;100;4542;
GO;520993;INACIOLÂNDIA;0;13;0;13;13;5371;15;100;6275;
MG;311220;CAPELA NOVA;0;13;0;3;13;5043;12;23;4616;
RS;431700;SANTANA DA BOA VISTA;0;14;0;14;10;4824;17;140;8037;
RS;431575;RIOZINHO;0;14;0;14;13;4521;13;108;4698;
RS;432135;TAVARES;0;14;0;14;8;4064;11;175;5484;
RS;430090;ARATIBA;0;14;0;2;14;6252;14;14;6145;
RJ;330470;SANTO ANTÔNIO DE PÁDUA;0;143;0;27;143;42606;143;19;42705;
PA;150250;CHAVES;0;15;0;15;12;2783;107;125;24175;
RS;431046;IPIRANGA DO SUL;0;1;0;1;1;2112;1;100;1871;
RS;431695;SANTA MARIA DO HERVAL;0;12;0;0;12;4949;16;0;6382;
MG;313590;JESUÂNIA;0;12;0;12;13;5281;12;92;4774;
SP;352580;JÚLIO MESQUITA;0;14;0;7;14;5755;12;50;4824;
MG;311810;CONGONHAS DO NORTE;0;15;0;15;8;4743;8;188;5047;
MG;313695;JUVENÍLIA;0;15;0;4;15;5476;16;27;5706;
RS;430490;CASCA;0;16;0;1;16;7640;19;6;9070;
RS;431245;MORRO REDONDO;0;16;0;4;16;7489;14;25;6609;
SP;354650;SANTA ERNESTINA;0;16;0;6;16;5904;15;38;5577;
MG;316430;SÃO ROQUE DE MINAS;0;17;0;13;17;6873;18;76;7100;
