Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
Indicador: Proporção de mulheres com coleta de citopatológico na APS
Dados Preliminares:
Considerado apenas (eSF e eAP) válidas para o componente de desempenho
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2022 Q2 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
SP;354700;SANTA MARIA DA SERRA;0;0;0;0;0;0;1615;0;6298;
SC;421550;SANTA CECÍLIA;0;0;0;0;0;0;4366;0;17004;
MG;312738;GOIANÁ;100;1213;8;1213;1165;4225;1107;104;4014;
TO;170710;DIVINÓPOLIS DO TOCANTINS;1000;1960;51;1960;2080;7970;1823;94;6986;
RN;240990;PENDÊNCIAS;1001;3997;25;3997;3868;14590;4086;103;15411;
MG;314050;MARTINHO CAMPOS;1001;4135;24;4135;4210;15510;3664;98;13497;
RS;430900;GIRUÁ;1001;4529;22;4529;4706;16778;4412;96;15729;
RJ;330270;MARICÁ;10020;50500;20;50500;49703;170920;48757;102;167668;
PR;411730;ORTIGUEIRA;1003;5713;18;5713;5402;21184;5555;106;21783;
PR;410580;COLOMBO;10034;56559;18;56559;54012;200880;67025;105;249277;
PE;260910;MACHADOS;1004;3430;29;3430;3424;13338;4248;100;16549;
SC;421830;TRÊS BARRAS;1004;5920;17;5920;6052;23547;5000;98;19455;
PE;260610;GLÓRIA DO GOITÁ;1004;6876;15;6876;6680;24675;8351;103;30847;
PR;412780;TOMAZINA;1006;2495;40;2495;2594;9286;2151;96;7699;
PR;410570;CLEVELÂNDIA;1006;4205;24;4205;4264;15743;4427;99;16344;
BA;291040;ENCRUZILHADA;1006;4801;21;4801;4303;18304;3741;112;15914;
SE;280280;INDIAROBA;1007;4130;24;4130;3846;16818;4193;107;18337;
PE;261350;SÃO JOSÉ DO BELMONTE;1007;8737;12;8737;8203;32594;8577;107;34082;
PR;411570;MATINHOS;1008;11062;9;11062;10958;38317;10211;101;35705;
SE;280580;RIACHÃO DO DANTAS;1008;5204;19;5204;5056;19502;5137;103;19813;
RS;430530;CHAPADA;1009;2854;35;2854;3092;10501;2712;92;9211;
GO;520330;BELA VISTA DE GOIÁS;1009;8163;12;8163;8019;29027;8565;102;31004;
TO;172110;TOCANTÍNIA;101;1288;8;1288;1090;5380;1557;118;7688;
PR;412790;TUNEIRAS DO OESTE;101;2233;5;2233;2182;7985;2323;102;8502;
RS;430192;BARRA DO RIO AZUL;101;513;20;513;549;2017;441;93;1621;
PB;251465;SÃO JOSÉ DO BREJO DO CRUZ;101;542;19;542;507;2038;453;107;1821;
BA;293105;TANQUE NOVO;1010;4202;24;4202;4063;16134;4412;103;17518;
ES;320260;ICONHA;1011;3653;28;3653;3635;12729;4022;100;14083;
PR;412860;VERÊ;1013;2416;42;2416;2669;9165;2066;91;7094;
SC;421100;MONDAÍ;1015;3004;34;3004;2830;11352;3000;106;12034;
SP;353475;OUROESTE;1016;3298;31;3298;3220;11595;2975;102;10712;
MT;510140;ARIPUANÃ;1016;5631;18;5631;4786;21102;5232;118;23067;
BA;293100;TANHAÇU;1016;5917;17;5917;6168;22412;5610;96;20383;
PI;220997;SÃO JOÃO DO ARRAIAL;1018;2388;43;2388;2400;10238;1895;100;8085;
MT;510040;ALTO GARÇAS;1019;3487;29;3487;3348;13503;3055;104;12323;
PR;411670;NOVA AURORA;1019;4090;25;4090;4292;14652;2968;95;10131;
CE;231335;TEJUÇUOCA;1019;4372;23;4372;4306;17947;4691;102;19551;
MA;210980;SANTA HELENA;1019;6952;15;6952;6336;26562;10216;110;42829;
SP;354625;SANTA CRUZ DA ESPERANÇA;102;698;15;698;707;2557;599;99;2166;
PB;251540;SÃO VICENTE DO SERIDÓ;1021;2956;35;2956;2841;12075;2569;104;10919;
MG;313120;IPANEMA;1021;5937;17;5937;6114;21941;5610;97;20133;
PB;251510;SÃO SEBASTIÃO DE LAGOA DE ROÇA;1022;3278;31;3278;3287;12497;3102;100;11793;
MG;315580;RIO POMBA;1022;5002;20;5002;5013;17747;5086;100;18007;
