Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
"Indicador: Proporção de pessoas com diabetes, com consulta e hemoglobina glicada solicitada no semestre"
Dados Preliminares:
Considerado apenas equipes (eSF e eAP) homologadas
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2022 Q2 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
SC;421550;SANTA CECÍLIA;0;0;0;0;0;0;6.9;0;17004;
SP;354700;SANTA MARIA DA SERRA;0;0;0;0;0;0;8.6;0;6298;
RO;110080;CANDEIAS DO JAMARI;0;1110;0;1110;1035;19524;5.3;107;28068;
PR;411260;JARDIM OLINDA;0;118;0;18;118;1526;7.7;15;1309;
SP;354075;POTIM;0;1261;0;880;1261;14661;8.6;70;25603;
RS;431235;MONTAURI;0;151;0;76;151;1715;8.8;50;1430;
RS;430485;CARLOS GOMES;0;152;0;69;152;1730;8.8;45;1327;
RS;431478;PONTE PRETA;0;177;0;102;177;2012;8.8;58;1501;
RS;431775;SANTO ANTÔNIO DO PLANALTO;0;180;0;105;180;2048;8.8;58;2018;
MG;312460;ESTRELA DALVA;0;185;0;185;165;2062;8;112;2308;
RS;431046;IPIRANGA DO SUL;0;186;0;105;186;2112;8.8;56;1871;
GO;520690;DAVINÓPOLIS;0;191;0;191;203;2746;7.4;94;2094;
PR;412310;SANTA AMÉLIA;0;199;0;199;188;2448;7.7;106;3208;
SP;354230;REDENÇÃO DA SERRA;0;204;0;161;204;2376;8.6;79;3827;
RS;431267;NICOLAU VERGUEIRO;0;205;0;155;205;2335;8.8;76;1667;
MG;314570;OLIVEIRA FORTES;0;211;0;211;178;2219;8;119;2128;
MG;316556;SEM-PEIXE;0;212;0;212;202;2530;8;105;2579;
RS;432237;UNISTALDA;0;219;0;219;164;1859;8.8;134;2306;
MG;314940;PEDRO TEIXEIRA;0;232;0;232;177;2214;8;131;1804;
PR;410670;CRUZEIRO DO SUL;0;245;0;187;245;3177;7.7;76;4430;
MG;315860;SANTANA DO DESERTO;0;254;0;204;254;3173;8;80;3985;
RS;432163;TRÊS ARROIOS;0;260;0;178;260;2960;8.8;68;2620;
MG;316360;SÃO JOSÉ DO MANTIMENTO;0;260;0;186;260;3254;8;72;2821;
RS;432370;VISTA GAÚCHA;0;268;0;121;268;3041;8.8;45;2858;
RS;431055;ITACURUBI;0;269;0;209;269;3058;8.8;78;3456;
RS;430107;ARROIO DO PADRE;0;275;0;209;275;3130;8.8;76;2966;
GO;520660;CUMARI;0;281;0;281;238;3210;7.4;118;2820;
RS;430632;DERRUBADAS;0;292;0;202;292;3313;8.8;69;2718;
MG;310680;BIAS FORTES;0;292;0;292;256;3202;8;114;3282;
SP;352760;LUÍS ANTÔNIO;0;294;0;294;288;3344;8.6;102;15628;
RS;431301;NOVA CANDELÁRIA;0;298;0;208;298;3391;8.8;70;2677;
PR;412420;SANTO ANTÔNIO DO CAIUÁ;0;302;0;302;205;2661;7.7;147;2611;
MG;314540;OLARIA;0;361;0;361;192;2394;8;188;1694;
RS;432340;VILA MARIA;0;370;0;207;370;4202;8.8;56;4368;
RS;431125;LAGOÃO;0;382;0;162;382;4340;8.8;42;6469;
AM;130180;IPIXUNA;0;403;0;121;403;7465;5.4;30;31172;
PR;411100;ITAMBARACÁ;0;405;0;338;405;5260;7.7;83;6516;
RS;431695;SANTA MARIA DO HERVAL;0;436;0;333;436;4949;8.8;76;6382;
PR;411700;NOVA FÁTIMA;0;446;0;364;446;5786;7.7;82;8120;
MG;317115;VERMELHO NOVO;0;449;0;340;449;5608;8;76;4852;
SP;350040;ÁGUAS DA PRATA;0;528;0;528;458;5326;8.6;115;8262;
MG;315930;SANTA RITA DE JACUTINGA;0;543;0;543;365;4563;8;149;4843;
RS;430370;CAMPINA DAS MISSÕES;0;544;0;421;544;6184;8.8;77;5325;
