Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
"Indicador: Proporção de pessoas com hipertensão, com consulta e pressão arterial aferida no semestre"
Dados Preliminares:
Considerado apenas (eSF e eAP) válidas para o componente de desempenho
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2022 Q3 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
SC;421550;SANTA CECÍLIA;0;0;0;0;0;0;23.6;0;17004;
MG;310310;ANTÔNIO PRADO DE MINAS;0;663;0;663;489;1767;27.7;136;1577;
RS;431125;LAGOÃO;1;1153;0;458;1153;4336;26.6;40;6469;
AP;160040;MAZAGÃO;1000;3166;32;2360;3166;17397;18.2;75;22468;
MG;314570;OLIVEIRA FORTES;1;764;0;764;626;2261;27.7;122;2128;
RN;241340;SERRA NEGRA DO NORTE;100;2046;5;2046;1757;8025;21.9;116;8105;
RS;431973;SÃO VALÉRIO DO SUL;100;421;24;421;409;1536;26.6;103;2732;
SP;354480;SALES;1000;1897;53;1897;1491;6161;24.2;127;6481;
PI;220310;CRISTINO CASTRO;1000;2692;37;2692;2554;10822;23.6;105;10464;
MG;311545;CATUJI;1000;3135;32;3135;2444;8824;27.7;128;6206;
GO;520815;GAMELEIRA DE GOIÁS;1005;1330;76;1330;1285;5490;23.4;104;3923;
MG;317065;VARGEM GRANDE DO RIO PARDO;1001;1324;76;1324;1454;5249;27.7;91;5045;
SC;420270;BOTUVERÁ;1001;1654;61;1654;1597;6769;23.6;104;5396;
SP;350080;ALFREDO MARCONDES;1001;1770;57;1770;1433;5921;24.2;124;4201;
SE;280480;NOSSA SENHORA DO SOCORRO;10011;34387;29;26469;34387;150818;22.8;77;187733;
PI;220010;AGRICOLÂNDIA;1002;1652;61;1652;1399;5926;23.6;118;5123;
RS;431250;MOSTARDAS;1002;2509;40;2509;2419;9095;26.6;104;12888;
RS;431730;SANTA VITÓRIA DO PALMAR;1002;9505;11;9505;8294;31181;26.6;115;29298;
RS;431650;SALVADOR DO SUL;1003;2054;49;1688;2054;7723;26.6;82;7975;
MG;314300;MONTE BELO;1004;3258;31;3258;3525;12724;27.7;92;13139;
SP;350880;CAFELÂNDIA;1009;3275;31;3275;3724;15390;24.2;88;17917;
PR;411220;JANIÓPOLIS;1005;1742;58;1742;1537;6710;22.9;113;4948;
PB;251330;SANTA HELENA;1005;2291;44;2291;1693;6745;25.1;135;5853;
RS;431690;SANTA MARIA;10054;33875;30;33875;38214;143663;26.6;89;285159;
RS;432100;TAPERA;1006;3021;33;3021;3098;11647;26.6;98;10569;
AC;120025;EPITACIOLÂNDIA;1007;3437;29;3437;3318;17280;19.2;104;18979;
GO;521730;PIRENÓPOLIS;1007;5992;17;4133;5992;25605;23.4;69;25218;
PE;261570;TRIUNFO;1008;4467;23;4467;3614;15445;23.4;124;15232;
SP;354270;RESTINGA;1009;2135;47;2135;1981;8184;24.2;108;7762;
PI;220196;BRASILEIRA;1009;2503;40;2503;2094;8871;23.6;120;8364;
MG;312560;FELISBURGO;1012;1917;53;1917;1879;6785;27.7;102;7548;
PR;412810;UMUARAMA;10095;24564;41;19481;24564;107267;22.9;79;113416;
RS;431454;PINTO BANDEIRA;101;853;12;853;893;3359;26.6;96;3068;
PR;411275;JESUÍTAS;1010;2450;41;2450;2301;10049;22.9;106;8251;
CE;230060;ALTANEIRA;1010;2675;38;2675;1865;8755;21.3;143;7712;
AM;130255;MANAQUIRI;1010;2879;35;2879;2657;16605;16;108;33981;
MG;312690;FREI INOCÊNCIO;1010;2885;35;2885;2644;9545;27.7;109;9716;
PB;251180;PIRPIRITUBA;1011;2266;45;2266;2325;9262;25.1;97;10590;
PR;411880;PEABIRU;1011;2826;36;2826;2933;12807;22.9;96;14017;
