Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
"Indicador: Proporção de crianças de 1 (um) ano de idade vacinadas na APS contra Difteria, Tétano, Coqueluche, Hepatite B, infecções causadas por haemophilus influenzae tipo b e Poliomielite inativada"
Dados Preliminares:
Considerado apenas equipes (eSF e eAP) homologadas
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2023 Q1 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
RS;432235;UNIÃO DA SERRA;0;0;0;0;0;1355;0;0;1084;
RS;432065;SILVEIRA MARTINS;0;1;0;1;1;2383;1;100;2365;
RS;431150;LAVRAS DO SUL;0;14;0;11;14;5671;18;79;7410;
MG;314230;MOEDA;0;16;0;16;13;5438;12;123;4948;
RS;431575;RIOZINHO;0;17;0;17;13;4561;13;131;4698;
SP;354165;QUADRA;0;19;0;19;12;4282;11;158;3902;
MG;312600;FLORESTAL;0;22;0;22;14;6857;15;157;7602;
MG;310640;BELO VALE;0;29;0;21;29;9226;24;72;7723;
RJ;330245;MACUCO;0;30;0;30;33;7489;25;91;5646;
MG;315480;RIO ACIMA;0;30;0;30;34;10591;34;88;10524;
RJ;330015;APERIBÉ;0;31;0;23;31;11366;33;74;12036;
PR;412270;SABÁUDIA;0;34;0;21;34;9063;26;62;6954;
RS;430925;GUABIJU;1;1;100;1;1;1633;1;100;1478;
SP;353170;MONTEIRO LOBATO;1;15;7;15;10;4612;10;150;4739;
SP;355470;TORRINHA;1;17;6;17;15;5716;26;113;10100;
RS;430150;AUGUSTO PESTANA;1;18;6;18;18;7222;16;100;6545;
MG;316660;SERRA DA SAUDADE;1;2;50;2;1;866;1;200;771;
MG;315057;PINTÓPOLIS;1;20;5;20;22;7222;23;91;7540;
RS;430613;CRUZALTENSE;1;3;33;3;2;2055;2;150;1765;
TO;170980;IPUEIRAS;1;4;25;1;4;1787;5;25;2088;
RS;430537;CHARRUA;1;4;25;1;4;1836;7;25;3228;
SP;351890;GUZOLÂNDIA;1;5;20;2;5;2216;12;40;5346;
GO;522028;SÃO PATRÍCIO;1;6;17;1;6;2956;4;17;2040;
GO;520945;GUARINOS;10;10;100;10;1;2480;1;1000;1681;
RS;432023;SEDE NOVA;10;10;100;10;10;3064;9;100;2875;
RS;430695;ENTRE RIOS DO SUL;10;10;100;10;10;3255;8;100;2724;
SC;420445;CORONEL MARTINS;10;10;100;10;2;2501;2;500;2560;
RS;431217;MATO QUEIMADO;10;10;100;10;3;2034;2;333;1611;
RN;240480;IPUEIRA;10;10;100;10;3;2421;3;333;2264;
MT;510715;RESERVA DO CABAÇAL;10;10;100;10;3;2566;3;333;2754;
MG;315010;PIAU;10;10;100;10;3;3493;2;333;2719;
MG;310380;ARAPUÁ;10;10;100;10;4;3144;4;250;2836;
RS;431805;SÃO DOMINGOS DO SUL;10;10;100;10;4;3219;4;250;3091;
TO;171525;NOVO JARDIM;10;10;100;10;5;2517;6;200;2768;
TO;171720;PIRAQUÊ;10;10;100;10;5;2638;6;200;3038;
SP;354920;SÃO JOÃO DAS DUAS PONTES;10;10;100;10;5;2640;5;200;2555;
RS;430223;BOA VISTA DO INCRA;10;10;100;10;5;2853;5;200;2628;
MT;510726;SANTO AFONSO;10;10;100;10;5;2920;5;200;3164;
SP;353310;NOVA GUATAPORANGA;10;10;100;10;5;3022;4;200;2333;
SP;352750;LUCIANÓPOLIS;10;10;100;10;5;3287;4;200;2412;
RS;430632;DERRUBADAS;10;10;100;10;5;3298;4;200;2718;
PR;410302;BOA ESPERANÇA DO IGUAÇU;10;10;100;10;6;2602;6;167;2437;
PI;220415;FRANCISCO MACEDO;10;10;100;10;6;3053;6;167;3216;
SC;420287;BRUNÓPOLIS;10;10;100;10;6;3191;4;167;2318;
MG;315860;SANTANA DO DESERTO;10;10;100;10;6;3327;7;167;3985;
SP;351650;GABRIEL MONTEIRO;10;10;100;10;6;3458;5;167;2776;
TO;170270;AURORA DO TOCANTINS;10;10;100;10;6;3636;6;167;3809;
SC;421775;SUL BRASIL;10;10;100;10;8;3134;6;125;2386;
SP;354040;POPULINA;10;10;100;10;8;4352;8;125;4136;
RS;431937;SÃO PEDRO DO BUTIÁ;10;10;100;10;9;3350;8;111;2950;
SP;353970;PLATINA;10;10;100;10;9;3707;9;111;3606;
SE;280250;GENERAL MAYNARD;10;10;100;10;9;3741;8;111;3421;
PB;251060;OURO VELHO;10;10;100;10;9;3781;7;111;3052;
GO;521340;MOIPORÁ;10;11;91;11;0;2235;0;0;1471;
PB;251470;SÃO JOSÉ DO SABUGI;10;11;91;11;10;4613;9;110;4153;
SC;420980;LEOBERTO LEAL;10;11;91;11;12;4079;9;92;2960;
SE;280730;TELHA;10;11;91;11;13;3556;12;85;3271;
PR;410670;CRUZEIRO DO SUL;10;11;91;11;13;3848;15;85;4430;
PR;410657;CRUZEIRO DO IGUAÇU;10;11;91;11;13;5183;11;85;4229;
MG;317110;VERÍSSIMO;10;11;91;11;2;3338;3;550;4090;
PR;411160;IVATUBA;10;11;91;11;2;3454;2;550;3299;
TO;172093;TAIPAS DO TOCANTINS;10;11;91;11;4;2342;4;275;2183;
SP;354930;SÃO JOÃO DO PAU D'ALHO;10;11;91;11;4;2618;3;275;2095;
SP;352965;MESÓPOLIS;10;11;91;11;4;2669;3;275;1903;
MG;317060;VARGEM BONITA;10;11;91;11;5;2289;5;220;2143;
PR;410855;GODOY MOREIRA;10;11;91;11;5;3075;5;220;2850;
SC;421185;OURO VERDE;10;11;91;11;6;2570;5;183;2197;
PI;220554;LAGOINHA DO PIAUÍ;10;11;91;11;6;3163;5;183;2870;
MG;311980;CÓRREGO DANTA;10;11;91;11;6;3197;6;183;3168;
