Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
Indicador: Proporção de gestantes com atendimento odontológico realizado
Dados Preliminares:
Considerado apenas equipes (eSF e eAP) homologadas
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2023 Q1 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
RS;430925;GUABIJU;0;1;0;0;1;1633;1;0;1478;
RS;432360;VISTA ALEGRE DO PRATA;0;1;0;0;1;1869;1;0;1553;
GO;521225;LAGOA SANTA;0;1;0;1;1;1210;1;100;1652;
SP;350040;ÁGUAS DA PRATA;0;10;0;1;10;5295;16;10;8262;
MG;316340;SÃO JOSÉ DO GOIABAL;0;10;0;10;10;5399;10;100;5356;
RS;431090;JACUTINGA;0;10;0;10;7;3771;7;143;3532;
MG;312740;GONÇALVES;0;10;0;10;7;5108;6;143;4360;
SP;353205;MOTUCA;0;11;0;0;11;4736;11;0;4831;
MG;316810;TAPIRA;0;11;0;0;11;4859;11;0;4890;
PR;412310;SANTA AMÉLIA;0;11;0;11;7;2848;8;157;3208;
RS;430697;EREBANGO;0;12;0;12;11;3501;9;109;2978;
RS;431301;NOVA CANDELÁRIA;0;12;0;12;9;3449;7;133;2677;
RO;110155;TEIXEIRÓPOLIS;0;13;0;13;13;5240;10;100;4160;
RS;431360;PAIM FILHO;0;13;0;13;9;4834;7;144;3731;
SP;354360;RIFAINA;0;13;0;7;13;4579;10;54;3651;
RS;430355;CAMARGO;0;13;0;8;13;3272;11;62;2750;
RS;430090;ARATIBA;0;14;0;3;14;6334;14;21;6145;
MG;312210;DIVINO DAS LARANJEIRAS;0;14;0;8;14;4518;15;57;4969;
SP;352630;LAGOINHA;0;15;0;6;15;6514;11;40;4882;
PR;410770;FÊNIX;0;16;0;13;16;5008;15;81;4734;
GO;520753;FAINA;0;17;0;17;12;5857;13;142;6527;
SP;351400;DOBRADA;0;18;0;1;18;7636;22;6;9088;
RS;430490;CASCA;0;18;0;1;18;8391;19;6;9070;
RS;431517;PROTÁSIO ALVES;0;2;0;2;2;2167;2;100;1929;
RJ;330160;DUAS BARRAS;0;21;0;13;21;7205;34;62;11563;
RJ;330530;SÃO SEBASTIÃO DO ALTO;0;21;0;21;22;7982;26;95;9416;
SP;353680;PEDRA BELA;0;22;0;13;22;6369;21;59;6127;
MG;316880;TIRADENTES;0;23;0;23;20;8546;19;115;8160;
MG;311787;CONFINS;0;25;0;14;25;7589;23;56;6867;
SP;350670;BOA ESPERANÇA DO SUL;0;25;0;25;28;9549;45;89;15111;
RO;110050;NOVO HORIZONTE DO OESTE;0;28;0;28;25;7909;26;112;8125;
SP;350960;CAMPO LIMPO PAULISTA;0;28;0;28;27;7852;296;104;86407;
RJ;330090;CAMBUCI;0;28;0;3;28;9673;45;11;15521;
MG;315733;SANTA CRUZ DE MINAS;0;29;0;29;27;9429;25;107;8723;
MG;314780;PASSA-VINTE;0;3;0;1;3;2343;3;33;2024;
RS;431795;SANTO EXPEDITO DO SUL;0;3;0;3;3;2403;3;100;2287;
RO;110143;NOVA UNIÃO;0;34;0;34;25;6531;26;136;6822;
RS;432255;VANINI;0;4;0;2;4;2243;4;50;2130;
RS;431973;SÃO VALÉRIO DO SUL;0;4;0;3;4;1559;7;75;2732;
RS;431055;ITACURUBI;0;4;0;3;4;3081;5;75;3456;
GO;520020;ÁGUA LIMPA;0;4;0;4;3;2277;2;133;1809;
RS;430511;CENTENÁRIO;0;5;0;2;5;3097;5;40;2865;
RJ;330050;BOM JARDIM;0;58;0;58;31;28428;30;187;27779;
ES;320517;VILA VALÉRIO;0;59;0;59;51;15667;46;116;14065;
MG;315860;SANTANA DO DESERTO;0;6;0;0;6;3327;7;0;3985;
SC;421055;MAREMA;0;6;0;2;6;2429;4;33;1703;
SP;350395;ASPÁSIA;0;6;0;2;6;2550;4;33;1815;
RS;431171;MAÇAMBARÁ;0;6;0;2;6;3583;7;33;4539;
SP;355420;TEJUPÁ;0;6;0;4;6;1796;15;67;4452;
MG;313080;INGAÍ;0;6;0;5;6;2880;6;83;2785;
RS;430085;ARAMBARÉ;0;7;0;7;6;2144;10;117;3544;
MG;310360;ARANTINA;0;8;0;0;8;3051;7;0;2779;
RS;431125;LAGOÃO;0;8;0;0;8;4403;12;0;6469;
RS;431843;SÃO JOÃO DO POLÊSINE;0;8;0;4;8;3208;6;50;2535;
PR;411030;INAJÁ;0;8;0;8;5;2764;6;160;3122;
SP;352790;LUTÉCIA;0;8;0;8;7;2963;6;114;2623;
PR;411940;PIRAÍ DO SUL;0;86;0;2;86;23763;93;2;25779;
RS;432235;UNIÃO DA SERRA;1;1;100;1;0;1355;0;0;1084;
RS;431507;PORTO VERA CRUZ;1;10;10;10;4;1828;3;250;1258;
RS;432147;TIRADENTES DO SUL;1;10;10;10;8;5290;8;125;5532;
RS;430695;ENTRE RIOS DO SUL;1;10;10;2;10;3255;8;20;2724;
RS;430515;CERRO GRANDE;1;11;9;11;7;2758;6;157;2281;
PR;410165;ARAPUÃ;1;12;8;12;10;3851;8;120;2951;
MG;315020;PIEDADE DE PONTE NOVA;1;12;8;12;12;4374;11;100;4141;
RS;431695;SANTA MARIA DO HERVAL;1;12;8;2;12;4870;16;17;6382;
RS;430260;BRAGA;1;12;8;3;12;3879;10;25;3271;
PI;220775;PASSAGEM FRANCA DO PIAUÍ;1;12;8;4;12;3835;14;33;4331;
SP;354690;SANTA LÚCIA;1;12;8;7;12;3952;26;58;8889;
RS;431700;SANTANA DA BOA VISTA;1;12;8;7;12;5613;17;58;8037;
GO;521940;SANTA RITA DO ARAGUAIA;1;13;8;10;13;5713;20;77;9110;
MT;510757;RONDOLÂNDIA;1;13;8;13;4;3293;5;325;4069;
RS;431150;LAVRAS DO SUL;1;14;7;14;14;5671;18;100;7410;
RS;430620;CRUZEIRO DO SUL;1;14;7;3;14;5478;31;21;12457;
MG;316550;SARDOÁ;1;14;7;5;14;5990;15;36;6421;
MG;312600;FLORESTAL;1;14;7;6;14;6857;15;43;7602;
RS;430250;BOSSOROCA;1;15;7;12;15;6365;14;80;6135;
PR;411965;PITANGUEIRAS;1;15;7;15;3;3593;3;500;3298;
MG;312330;DORES DO TURVO;1;15;7;9;15;5137;12;60;4202;
MG;314770;PASSA TEMPO;1;18;6;7;18;8900;16;39;8031;
RS;432225;TUPANDI;1;19;5;12;19;5243;18;63;5019;
RS;430593;CORONEL PILAR;1;2;50;2;1;1724;1;200;1602;
RS;431075;IVORÁ;1;2;50;2;1;2423;1;200;1854;
RS;432163;TRÊS ARROIOS;1;2;50;2;2;2963;2;100;2620;
SP;354210;RAFARD;1;20;5;2;20;6223;29;10;9126;
SP;350115;ALUMÍNIO;1;21;5;1;21;6169;64;5;18903;
PR;412175;RESERVA DO IGUAÇU;1;23;4;11;23;6207;30;48;8127;
SP;351480;ELDORADO;1;26;4;26;25;7709;50;104;15592;
SP;354760;SANTA ROSA DE VITERBO;1;28;4;28;23;8521;72;122;26960;
RS;431225;MINAS DO LEÃO;1;28;4;28;27;8554;26;104;8130;
RS;431697;SANTA MARGARIDA DO SUL;1;3;33;2;3;3005;3;67;2593;
GO;520120;ANHANGUERA;1;3;33;3;0;1506;0;0;1171;
RJ;330015;APERIBÉ;1;31;3;24;31;11366;33;77;12036;
