Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
Indicador: Proporção de gestantes com realização de exames para sífilis e HIV
Dados Preliminares:
Considerado apenas (eSF e eAP) válidas para o componente de desempenho
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2023 Q1 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
RS;430925;GUABIJU;0;1;0;0;1;1633;1;0;1478;
RS;432360;VISTA ALEGRE DO PRATA;0;1;0;0;1;1869;1;0;1553;
RS;432235;UNIÃO DA SERRA;0;1;0;1;0;1355;0;0;1084;
GO;521225;LAGOA SANTA;0;1;0;1;1;1210;1;100;1652;
SP;350040;ÁGUAS DA PRATA;0;10;0;1;10;5295;16;10;8262;
RS;430360;CAMBARÁ DO SUL;0;10;0;10;8;4826;11;125;6383;
SP;353205;MOTUCA;0;11;0;0;11;4736;11;0;4831;
MG;316810;TAPIRA;0;11;0;0;11;4859;11;0;4890;
RS;431700;SANTANA DA BOA VISTA;0;12;0;7;12;5613;17;58;8037;
RS;431150;LAVRAS DO SUL;0;14;0;14;14;5671;18;100;7410;
MG;310810;BONFIM;0;16;0;8;16;7899;14;50;6852;
RS;430030;ALECRIM;0;17;0;17;9;7304;7;189;5710;
SP;351400;DOBRADA;0;18;0;1;18;7636;22;6;9088;
RS;430490;CASCA;0;18;0;1;18;8391;19;6;9070;
SP;350115;ALUMÍNIO;0;21;0;1;21;6169;64;5;18903;
SP;350995;CANAS;0;23;0;3;23;5246;23;13;5268;
RJ;330090;CAMBUCI;0;28;0;3;28;9673;45;11;15521;
MG;314780;PASSA-VINTE;0;3;0;1;3;2343;3;33;2024;
MG;310310;ANTÔNIO PRADO DE MINAS;0;3;0;3;1;1723;1;300;1577;
RS;431795;SANTO EXPEDITO DO SUL;0;3;0;3;3;2403;3;100;2287;
SP;351385;DIRCE REIS;0;4;0;1;4;2160;3;25;1805;
RS;430066;ANDRÉ DA ROCHA;0;4;0;4;1;1499;1;400;1351;
RS;430613;CRUZALTENSE;0;4;0;4;2;2055;2;200;1765;
RS;430511;CENTENÁRIO;0;5;0;2;5;3097;5;40;2865;
MG;311310;CARANAÍBA;0;5;0;2;5;3376;5;40;3150;
RS;431500;PORTO LUCENA;0;5;0;2;5;4812;5;40;4514;
RS;431335;NOVA ROMA DO SUL;0;5;0;3;5;4823;4;60;3743;
MG;311590;CHÁCARA;0;5;0;5;5;2584;6;100;3216;
MG;315860;SANTANA DO DESERTO;0;6;0;0;6;3327;7;0;3985;
SC;421055;MAREMA;0;6;0;2;6;2429;4;33;1703;
SP;350395;ASPÁSIA;0;6;0;2;6;2550;4;33;1815;
RS;431171;MAÇAMBARÁ;0;6;0;2;6;3583;7;33;4539;
MG;316130;SÃO FRANCISCO DE SALES;0;6;0;4;6;4417;9;67;6309;
MG;313080;INGAÍ;0;6;0;5;6;2880;6;83;2785;
PR;411260;JARDIM OLINDA;0;6;0;6;2;1563;2;300;1309;
SP;350335;ARCO-ÍRIS;0;6;0;6;3;2306;2;200;1755;
RS;432340;VILA MARIA;0;6;0;6;6;3712;7;100;4368;
GO;520660;CUMARI;0;7;0;7;7;3203;6;100;2820;
MG;315930;SANTA RITA DE JACUTINGA;0;7;0;7;7;4771;7;100;4843;
MG;310360;ARANTINA;0;8;0;0;8;3051;7;0;2779;
RS;431125;LAGOÃO;0;8;0;0;8;4403;12;0;6469;
RS;431113;JARI;0;8;0;8;9;3727;8;89;3472;
MG;312850;GUARARÁ;0;9;0;4;9;4235;8;44;3755;
RS;430185;BARRA DO GUARITA;0;9;0;9;10;3691;9;90;3266;
RS;430320;CACIQUE DOBLE;0;9;0;9;10;4443;12;90;5083;
SP;353570;PARAÍSO;1;10;10;1;10;3475;19;10;6536;
RS;430695;ENTRE RIOS DO SUL;1;10;10;2;10;3255;8;20;2724;
RS;431695;SANTA MARIA DO HERVAL;1;12;8;2;12;4870;16;17;6382;
PI;220775;PASSAGEM FRANCA DO PIAUÍ;1;12;8;4;12;3835;14;33;4331;
SP;350275;ARAÇARIGUAMA;1;12;8;9;12;2685;106;75;23343;
SP;354165;QUADRA;1;13;8;13;12;4282;11;108;3902;
SP;354810;SANTO ANTÔNIO DO JARDIM;1;13;8;8;13;4641;16;62;5926;
SP;351925;IARAS;1;14;7;14;10;5694;17;140;9786;
MG;312600;FLORESTAL;1;14;7;6;14;6857;15;43;7602;
SP;350055;ÁGUAS DE SANTA BÁRBARA;1;16;6;16;16;6211;16;100;6142;
PR;411470;MARIA HELENA;1;17;6;12;17;6306;15;71;5593;
MG;313430;ITUMIRIM;1;17;6;9;17;7118;14;53;5978;
MG;310770;BOM JESUS DO AMPARO;1;19;5;10;19;5784;20;53;6182;
RS;431075;IVORÁ;1;2;50;2;1;2423;1;200;1854;
RS;431517;PROTÁSIO ALVES;1;2;50;2;2;2167;2;100;1929;
RS;432163;TRÊS ARROIOS;1;2;50;2;2;2963;2;100;2620;
SP;354210;RAFARD;1;20;5;2;20;6223;29;10;9126;
RS;432135;TAVARES;1;22;5;22;9;4500;11;244;5484;
SP;354325;RIBEIRÃO GRANDE;1;26;4;26;24;9270;20;108;7686;
RS;431225;MINAS DO LEÃO;1;28;4;28;27;8554;26;104;8130;
RS;431697;SANTA MARGARIDA DO SUL;1;3;33;2;3;3005;3;67;2593;
GO;520120;ANHANGUERA;1;3;33;3;0;1506;0;0;1171;
RS;430485;CARLOS GOMES;1;3;33;3;1;1726;1;300;1327;
MT;510788;SERRA NOVA DOURADA;1;4;25;2;4;2169;3;50;1705;
RS;432255;VANINI;1;4;25;2;4;2243;4;50;2130;
RS;431973;SÃO VALÉRIO DO SUL;1;4;25;3;4;1559;7;75;2732;
RS;431123;LAGOA BONITA DO SUL;1;4;25;3;4;2674;4;75;2939;
RS;431055;ITACURUBI;1;4;25;3;4;3081;5;75;3456;
RS;431200;MARIANO MORO;1;4;25;4;0;2254;0;0;1987;
MG;315380;QUELUZITO;1;4;25;4;1;2323;1;400;1948;
MG;316640;SERITINGA;1;4;25;4;2;2003;2;200;1857;
MG;312460;ESTRELA DALVA;1;4;25;4;4;2072;4;100;2308;
SC;421430;RANCHO QUEIMADO;1;5;20;2;5;2443;6;40;2897;
RS;430205;BENJAMIN CONSTANT DO SUL;1;5;20;4;5;1758;5;80;1924;
RS;431673;SANTA CECÍLIA DO SUL;1;5;20;4;5;2113;4;80;1630;
GO;520690;DAVINÓPOLIS;1;6;17;6;3;2788;2;200;2094;
RS;431844;SÃO JORGE;1;6;17;6;4;3317;3;150;2808;
RS;430705;ERNESTINA;1;7;14;5;7;3622;6;71;3171;
MG;313790;LAMIM;1;7;14;5;7;3929;6;71;3366;
MG;310330;ARACITABA;1;7;14;7;3;2230;3;233;2056;
SP;351495;EMBAÚBA;1;7;14;7;5;2777;4;140;2446;
MG;311960;CORONEL PACHECO;1;7;14;7;6;3100;6;117;3095;
RS;430740;ESMERALDA;1;8;13;5;8;3689;7;63;3291;
RS;430692;ENGENHO VELHO;1;8;13;6;8;1576;5;75;932;
RS;430587;CORONEL BARROS;1;8;13;8;6;3568;4;133;2521;
MG;311500;CASCALHO RICO;1;9;11;7;9;3878;7;78;3108;
TO;171888;SANTA MARIA DO TOCANTINS;1;9;11;9;8;3046;9;113;3537;
