Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
Indicador: Proporção de mulheres com coleta de citopatológico na APS
Dados Preliminares:
Considerado apenas equipes (eSF e eAP) homologadas
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2023 Q1 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
AC;120032;JORDÃO;100;1210;8;1210;883;6157;1237;137;8628;
MG;315450;RIACHO DOS MACHADOS;1000;2256;44;2256;2192;8943;2321;103;9471;
PB;251110;PEDRA LAVRADA;1001;1924;52;1924;1958;7360;2116;98;7954;
SP;351885;GUATAPARÁ;1001;2264;44;2264;2160;8519;1968;105;7760;
MG;316460;SÃO SEBASTIÃO DO OESTE;1001;2575;39;2575;2480;10052;1714;104;6948;
MA;210920;PRESIDENTE JUSCELINO;1001;2670;37;2670;2306;11670;2557;116;12939;
SP;355620;VALINHOS;1004;17489;6;17489;16416;55913;39098;107;133169;
SP;355250;SUZANO;10040;54760;18;54760;48992;174958;84958;112;303397;
PI;220690;NOVO ORIENTE DO PIAUÍ;1005;1648;61;1648;1701;6293;1770;97;6548;
PB;250157;BARRA DE SANTANA;1005;2204;46;2204;2194;8596;2128;100;8338;
PR;412250;RONCADOR;1005;3355;30;3355;3703;12828;2727;91;9447;
SP;351050;CARAGUATATUBA;10057;41266;24;41266;38781;143093;33930;106;125194;
SC;420060;ÁGUAS MORNAS;1006;2417;42;2417;2411;8666;1849;100;6646;
CE;230440;FORTALEZA;100636;772501;13;772501;741067;2486694;805645;104;2703391;
SP;355640;VARGEM GRANDE DO SUL;1007;10481;10;10481;10222;37202;11916;103;43368;
SP;354790;SANTO ANTÔNIO DA ALEGRIA;1007;2202;46;2202;2146;8482;1777;103;7024;
SP;351720;GUAIÇARA;1007;3930;26;3930;3811;14243;3322;103;12416;
MG;313670;JUIZ DE FORA;10070;89407;11;89407;87780;296449;171010;102;577532;
MG;316294;SÃO JOSÉ DA BARRA;1008;2318;43;2318;2304;8530;2034;101;7532;
SP;353910;PIRAPORA DO BOM JESUS;1008;5151;20;5151;4499;17523;4994;114;19453;
PI;220490;ISAÍAS COELHO;1009;2161;47;2161;2207;8825;2146;98;8582;
MG;311140;CAMPO FLORIDO;1009;2330;43;2330;1905;8191;1950;122;8383;
PR;410775;FIGUEIRA;1009;2441;41;2441;2514;8909;2152;97;7625;
AL;270460;MARAVILHA;1009;2675;38;2675;2624;10526;2206;102;8850;
PA;150549;PALESTINA DO PARÁ;101;1435;7;1435;1339;5511;1841;107;7575;
PB;251465;SÃO JOSÉ DO BREJO DO CRUZ;101;547;18;547;503;2024;453;109;1821;
GO;521305;MIMOSO DE GOIÁS;101;779;13;779;744;2881;665;105;2575;
MA;210535;ITAIPAVA DO GRAJAÚ;1010;2752;37;2752;2633;12329;3451;105;16158;
SC;420500;DIONÍSIO CERQUEIRA;1010;4433;23;4433;4376;16875;4043;101;15592;
RS;430480;CARLOS BARBOSA;1010;5046;20;5046;4276;14706;8906;118;30630;
PR;410680;CRUZ MACHADO;1011;4681;22;4681;4557;17968;4761;103;18772;
MT;510790;SINOP;10120;45559;22;45559;41000;157004;38899;111;148960;
ES;320520;VILA VELHA;10129;59990;17;59990;55713;195858;144691;108;508655;
CE;231190;SABOEIRO;1013;3654;28;3654;3686;14558;3990;99;15757;
AL;270050;BARRA DE SANTO ANTÔNIO;1013;4756;21;4756;4396;17421;4088;108;16201;
RJ;330630;VOLTA REDONDA;10132;77756;13;77756;74959;251352;81989;104;274925;
SP;353282;NOVA CAMPINA;1015;2519;40;2519;2373;9346;2529;106;9962;
AL;270480;MARIBONDO;1016;3823;27;3823;3744;14082;3489;102;13123;
RS;431480;PORTÃO;1016;3861;26;3861;3337;12455;10203;116;38081;
CE;230420;CRATO;10163;33928;30;33928;31818;115377;36930;107;133913;
MA;210910;PRESIDENTE DUTRA;1017;11616;9;11616;11119;41829;12829;104;48264;
RR;140040;NORMANDIA;1017;2308;44;2308;1644;11116;1741;140;11772;
MG;310100;ÁGUAS VERMELHAS;1017;3447;30;3447;3426;13863;3375;101;13656;
MG;314990;PERDÕES;1017;6459;16;6459;6366;22776;6031;101;21577;
GO;521730;PIRENÓPOLIS;1017;7352;14;7352;6970;25859;6797;105;25218;
PE;261247;SANTA CRUZ DA BAIXA VERDE;1018;3240;31;3240;3191;12645;3207;102;12708;
RO;110140;MONTE NEGRO;1018;4139;25;4139;3847;15444;4025;108;16158;
MA;210923;PRESIDENTE MÉDICI;1019;1653;62;1653;1565;6967;1600;106;7124;
PB;251597;SOBRADO;1019;2580;39;2580;2711;9750;2181;95;7845;
PR;411130;ITAÚNA DO SUL;102;1067;10;1067;1098;4043;733;97;2700;
MG;312705;FRONTEIRA DOS VALES;102;1104;9;1104;1124;4481;1139;98;4542;
SP;352360;ITIRAPINA;1020;3901;26;3901;3064;14322;3982;127;18610;
PA;150130;BARCARENA;10207;32609;31;32609;29158;119596;31532;112;129333;
MG;311790;CONGONHAL;1021;3560;29;3560;3478;12668;3352;102;12209;
MG;312980;IBIRITÉ;10217;45040;23;45040;41794;150889;50973;108;184030;
GO;521900;SANCLERLÂNDIA;1022;2660;38;2660;2713;9294;2227;98;7630;
MG;315790;SANTA MARGARIDA;1022;4629;22;4629;4571;17965;4171;101;16393;
GO;520551;COCALZINHO DE GOIÁS;1022;6266;16;6266;6008;23294;5357;104;20771;
MG;311580;CENTRALINA;1024;2686;38;2686;2675;9924;2788;100;10343;
MT;510630;PARANATINGA;1024;5620;18;5620;5386;22653;5528;104;23250;
PR;410640;CORNÉLIO PROCÓPIO;1024;8953;11;8953;8158;28137;13870;110;47840;
MA;210520;IGARAPÉ GRANDE;1025;2846;36;2846;2882;11238;2937;99;11453;
AC;120045;SENADOR GUIOMARD;1025;5223;20;5223;4420;18854;5497;118;23446;
PR;411430;MANDIRITUBA;1025;6863;15;6863;6124;23873;7118;112;27750;
BA;293320;VERA CRUZ;1026;10327;10;10327;9004;32811;12125;115;44185;
AC;120033;MÂNCIO LIMA;1027;4494;23;4494;3867;18918;4015;116;19643;
BA;292480;PIRITIBA;1027;4622;22;4622;4199;16692;6330;110;25162;
SP;351700;GETULINA;1028;2593;40;2593;2287;9602;2735;113;11485;
PE;261040;PARNAMIRIM;1028;5058;20;5058;4673;19880;5218;108;22198;
RS;431650;SALVADOR DO SUL;1029;2124;48;2124;2167;7797;2216;98;7975;
MA;210730;NOVA IORQUE;103;1097;9;1097;1103;4732;1091;99;4682;
SP;350110;ALTO ALEGRE;103;1195;9;1195;1199;4580;1068;100;4078;
PA;150570;PONTA DE PEDRAS;103;524;20;524;499;2212;7218;105;32007;
TO;170825;FORTALEZA DO TABOCÃO;103;992;10;992;1082;4187;676;92;2615;
SC;421230;PAULO LOPES;1030;3131;33;3131;3246;11959;2074;96;7642;
RS;431460;PIRATINI;1030;3695;28;3695;3401;13269;5317;109;20743;
PB;250850;LIVRAMENTO;1031;1905;54;1905;1900;7737;1786;100;7274;
BA;290900;CORDEIROS;1031;2299;45;2299;2397;8727;2381;96;8667;
RO;110009;ESPIGÃO D'OESTE;1031;8099;13;8099;7441;28049;8757;109;33009;
PE;260600;GARANHUNS;10311;40815;25;40815;38064;139392;38598;107;141347;
SC;421225;PASSO DE TORRES;1032;3780;27;3780;3689;13503;2532;102;9269;
SP;352970;MIGUELÓPOLIS;1032;4240;24;4240;3647;13699;5984;116;22480;
PA;150540;OURÉM;1032;4932;21;4932;4659;19315;4361;106;18079;
SP;351990;IEPÊ;1033;2442;42;2442;2478;8982;2270;99;8228;
GO;520485;CAMPO LIMPO DE GOIÁS;1033;2683;39;2683;2541;10281;1999;106;8087;
GO;520390;BURITI ALEGRE;1033;2743;38;2743;2805;10125;2636;98;9515;
MT;510050;ALTO PARAGUAI;1034;1805;57;1805;1756;7248;2808;103;11587;
MG;310150;ALÉM PARAÍBA;1034;7840;13;7840;7809;28037;9870;100;35438;
PR;411520;MARINGÁ;10346;100624;10;100624;98523;338196;127153;102;436472;
MA;211120;SÃO JOSÉ DE RIBAMAR;10355;55568;19;55568;48629;172884;50728;114;180345;
BA;292350;PALMEIRAS;1036;3257;32;3257;3062;12152;2299;106;9123;
MG;315130;PIRAÚBA;1036;3365;31;3365;3426;12162;3023;98;10732;
PA;150616;RIO MARIA;1036;5269;20;5269;5193;20203;4680;101;18208;
PR;412750;TIBAGI;1037;4644;22;4644;4607;18283;5213;101;20688;
PI;220177;BOA HORA;1039;1767;59;1767;1745;7040;1697;101;6848;
RS;431640;ROSÁRIO DO SUL;1039;6404;16;6404;6078;22559;10564;105;39210;
PI;220455;GUARIBAS;104;1475;7;1475;1400;5881;1089;105;4573;
RN;240070;ALTO DO RODRIGUES;1040;4138;25;4138;3880;14282;4054;107;14923;
RS;431780;SANTO AUGUSTO;1041;4170;25;4170;4446;15693;3913;94;13813;
GO;520995;INDIARA;1041;4511;23;4511;4198;15945;4202;107;15962;
PR;412660;SIQUEIRA CAMPOS;1041;5607;19;5607;5219;18796;5963;107;21476;
PB;250640;GURINHÉM;1042;4063;26;4063;4094;15504;3730;99;14125;
MG;316170;SÃO GONÇALO DO ABAETÉ;1043;1818;57;1818;1753;7088;2109;104;8527;
MG;315015;PIEDADE DE CARATINGA;1043;2943;35;2943;2814;11047;2250;105;8832;
RS;431730;SANTA VITÓRIA DO PALMAR;1044;8622;12;8622;8543;31439;7961;101;29298;
PB;250500;CUBATI;1045;2029;52;2029;1937;7902;1928;105;7866;
GO;520080;ALVORADA DO NORTE;1045;2541;41;2541;2478;9475;2288;103;8749;
BA;290970;CRISTÓPOLIS;1045;3548;29;3548;3561;13894;3583;100;13981;
PA;150309;GOIANÉSIA DO PARÁ;1046;6128;17;6128;5286;22836;9647;116;41678;
PB;251550;SERRA BRANCA;1047;3775;28;3775;3812;14486;3633;99;13807;
PA;150295;ELDORADO DOS CARAJÁS;1047;5747;18;5747;5137;22838;7663;112;34069;
PI;220605;MASSAPÊ DO PIAUÍ;1048;1798;58;1798;1710;6785;1627;105;6456;
PR;411120;ITAPEJARA D'OESTE;1048;3745;28;3745;3915;14087;3396;96;12220;
PB;250939;MATURÉIA;1049;2115;50;2115;2140;8142;1758;99;6690;
SP;353640;PAULICÉIA;1049;2606;40;2606;2598;9918;1975;100;7540;
RS;430450;CANGUÇU;1049;7696;14;7696;7055;27026;14715;109;56370;
BA;293140;TEODORO SAMPAIO;1050;2261;46;2261;2401;8223;2130;94;7296;
MS;500800;TERENOS;1050;4177;25;4177;3962;15454;5825;105;22721;
PA;150190;BUJARU;1050;4931;21;4931;4187;19679;6322;118;29717;
BA;290800;COARACI;1050;5061;21;5061;5286;18794;4536;96;16128;
MG;313115;IPABA;1050;5424;19;5424;5138;19971;4869;106;18926;
RS;431115;JÓIA;1051;2089;50;2089;2171;8174;2276;96;8571;
AM;130426;UARINI;1051;2740;38;2740;2467;14256;2395;111;13839;
AL;270660;PAULO JACINTO;1052;2034;52;2034;2094;8010;1975;97;7556;
PB;250980;MULUNGU;1053;2762;38;2762;2783;10522;2635;99;9962;
SP;355230;SUD MENNUCCI;1054;2493;42;2493;2486;8954;2148;100;7738;
PR;411750;PAIÇANDU;1055;10437;10;10437;9762;34961;11798;107;42251;
PR;410940;GUARAPUAVA;10558;51789;20;51789;51256;187080;50345;101;183755;
MG;315350;ALTO JEQUITIBÁ;1056;2608;40;2608;2667;9896;2233;98;8286;
BA;290050;ÉRICO CARDOSO;1056;2815;38;2815;3033;11163;2856;93;10513;
MG;312970;IBIRACI;1056;3188;33;3188;2985;12304;3427;107;14128;
PI;220240;CAPITÃO DE CAMPOS;1056;3402;31;3402;3383;13213;2937;101;11471;
PA;150803;TRACUATEUA;1056;6625;16;6625;6221;28074;6991;106;31549;
MG;310825;BONITO DE MINAS;1057;2329;45;2329;2269;10334;2526;103;11502;
BA;290135;ANDORINHA;1057;3994;26;3994;3772;13955;3897;106;14416;
PR;411670;NOVA AURORA;1057;4079;26;4079;4314;14726;2968;95;10131;
RR;140045;PACARAIMA;1057;8098;13;8098;6430;34624;3734;126;20108;
GO;520890;GOIÁS;1058;6564;16;6564;6821;22267;6777;96;22122;
MA;211227;TUFILÂNDIA;106;1719;6;1719;1546;7510;1208;111;5868;
MA;211105;SÃO JOÃO DO PARAÍSO;106;2466;4;2466;2325;10201;2554;106;11207;
RS;430825;FLORIANO PEIXOTO;106;501;21;501;507;1986;436;99;1709;
MG;310070;ÁGUA COMPRIDA;106;726;15;726;726;2743;526;100;1986;
SP;350560;BARRINHA;1061;5770;18;5770;4633;17875;8692;125;33537;
SC;420120;ANTÔNIO CARLOS;1063;2975;36;2975;3206;11423;2445;93;8712;
SP;353800;PINDAMONHANGABA;10655;37215;29;37215;35056;124696;48323;106;171885;
PA;150157;BOM JESUS DO TOCANTINS;1066;3920;27;3920;3680;16192;3921;107;17254;
RS;430210;BENTO GONÇALVES;10668;27965;38;27965;27209;95091;35220;103;123090;
MG;316180;SÃO GONÇALO DO PARÁ;1069;3431;31;3431;3298;12647;3332;104;12776;
PI;220775;PASSAGEM FRANCA DO PIAUÍ;107;1038;10;1038;963;3835;1087;108;4331;
SP;354230;REDENÇÃO DA SERRA;107;680;16;680;690;2585;1021;99;3827;
SP;353700;PEDREGULHO;1070;4401;24;4401;4263;15987;4500;103;16876;
PE;261618;VERTENTE DO LÉRIO;1071;2357;45;2357;2406;8793;2059;98;7526;
PR;412780;TOMAZINA;1071;2475;43;2475;2563;9172;2151;97;7699;
RN;241410;TENENTE ANANIAS;1071;2803;38;2803;2644;10475;2757;106;10923;
BA;291970;MACARANI;1071;4265;25;4265;4082;15802;4922;104;19056;
PI;220585;MADEIRO;1072;2242;48;2242;2030;8737;1945;110;8372;
SP;355510;TUPI PAULISTA;1072;4150;26;4150;3667;15084;3809;113;15670;
MT;510637;PEDRA PRETA;1072;4269;25;4269;4014;14611;4820;106;17547;
SP;351620;FRANCA;10720;68503;16;68503;65745;234757;100411;104;358539;
PR;411695;NOVA ESPERANÇA DO SUDOESTE;1073;1639;65;1639;1770;6361;1395;93;5014;
PA;150350;IRITUIA;1073;7390;15;7390;6947;30452;7446;106;32639;
MS;500210;BELA VISTA;1074;5439;20;5439;5158;21004;6101;105;24842;
TO;170710;DIVINÓPOLIS DO TOCANTINS;1075;1973;54;1973;2080;7971;1823;95;6986;
SP;353200;MORUNGABA;1075;2920;37;2920;2345;8647;3779;125;13936;
PE;261430;MOREILÂNDIA;1075;2956;36;2956;2894;11720;2783;102;11269;
SP;352350;ITATINGA;1075;4346;25;4346;3756;15008;5291;116;21139;
MG;311260;CAPINÓPOLIS;1075;4374;25;4374;4295;16132;4338;102;16294;
PR;410170;ARARUNA;1075;4378;25;4378;4458;16003;3908;98;14029;
SP;355000;SÃO LUÍS DO PARAITINGA;1076;3308;33;3308;3345;11915;3002;99;10693;
MA;210860;PINHEIRO;10763;20281;53;20281;18883;71231;22310;107;84160;
MS;500660;PONTA PORÃ;10771;27283;39;27283;25720;102390;23944;106;95320;
MG;315420;RESENDE COSTA;1079;3358;32;3358;3394;11902;3302;99;11578;
BA;291120;GANDU;1079;7678;14;7678;7166;27109;8664;107;32778;
PA;150746;SÃO JOÃO DA PONTA;108;1408;8;1408;1400;5890;1496;101;6294;
RS;431075;IVORÁ;108;545;20;545;634;2423;485;86;1854;
PA;150563;PIÇARRA;1080;3106;35;3106;2991;12691;3058;104;12976;
PE;260250;BREJINHO;1081;2361;46;2361;2341;8948;1959;101;7489;
SP;353720;PEDRO DE TOLEDO;1081;2874;38;2874;2760;10784;2945;104;11507;
PA;150277;CURIONÓPOLIS;1081;5166;21;5166;4738;20338;4138;109;17764;
PE;260290;CABO DE SANTO AGOSTINHO;10811;49413;22;49413;44082;159648;58205;112;210796;
MG;316720;SETE LAGOAS;10824;58490;19;58490;54885;188431;71056;107;243950;
BA;291030;ELÍSIO MEDRADO;1083;2444;44;2444;2496;8896;2281;98;8129;
SC;420350;CAMPO ERÊ;1083;2671;41;2671;2866;10770;2212;93;8312;
PA;150506;NOVO REPARTIMENTO;1084;12419;9;12419;10851;50371;16908;114;78488;
MG;315217;PONTO DOS VOLANTES;1084;2786;39;2786;2693;12117;2719;103;12235;
PR;411390;MALLET;1084;3648;30;3648;3677;13935;3614;99;13697;
PR;411730;ORTIGUEIRA;1084;5988;18;5988;5668;22225;5555;106;21783;
MG;314690;PAPAGAIOS;1087;3247;33;3247;3042;11692;4143;107;15922;
MG;312380;ENGENHEIRO NAVARRO;1089;1908;57;1908;1943;7084;1986;98;7240;
AL;270250;DOIS RIACHOS;1089;2702;40;2702;2643;10658;2742;102;11059;
SP;354560;SANTA ADÉLIA;1089;3152;35;3152;2973;11016;4220;106;15639;
BA;292730;SALINAS DA MARGARIDA;1089;4824;23;4824;4590;16607;4435;105;16047;
GO;522060;SILVÂNIA;1089;6242;17;6242;6089;22287;5720;103;20938;
TO;171700;PINDORAMA DO TOCANTINS;109;1024;11;1024;1097;4522;1071;93;4414;
GO;521580;PALMELO;109;761;14;761;791;2833;665;96;2382;
RS;432340;VILA MARIA;109;903;12;903;1055;3712;1242;86;4368;
GO;521180;JARAGUÁ;1090;12944;8;12944;12659;46719;14133;102;52160;
MG;312450;ESTIVA;1090;3258;33;3258;3281;11843;3163;99;11416;
MG;313700;LADAINHA;1090;3850;28;3850;3694;15792;4274;104;18272;
RN;240650;LAGOA NOVA;1090;4544;24;4544;4400;16823;4153;103;15880;
MT;510330;COMODORO;1092;5061;22;5061;4886;19518;5319;104;21249;
AM;130280;MARAÃ;1093;2190;50;2190;1807;11053;2992;121;18298;
BA;291185;HELIÓPOLIS;1093;3615;30;3615;3628;13360;3516;100;12946;
SP;351410;DOIS CÓRREGOS;1094;6062;18;6062;5360;20993;7073;113;27704;
PR;412035;PRANCHITA;1096;1698;65;1698;1806;6302;1443;94;5035;
PI;220990;SÃO JOÃO DA SERRA;1096;1708;64;1708;1900;6938;1672;90;6106;
MG;316960;TUPACIGUARA;1096;7174;15;7174;6972;25637;6925;103;25466;
MS;500793;SONORA;1097;4685;23;4685;4153;17826;4696;113;20158;
PA;150420;MARABÁ;10975;45880;24;45880;36956;156338;68000;124;287664;
PR;412620;SAPOPEMA;1098;1958;56;1958;1970;7553;1750;99;6708;
SP;352550;JOANÓPOLIS;1098;3271;34;3271;3128;11216;3752;105;13453;
RS;430900;GIRUÁ;1098;4499;24;4499;4720;16827;4412;95;15729;
MG;310400;ARAXÁ;1099;23453;5;23453;22060;78227;30569;106;108403;
PR;412785;TRÊS BARRAS DO PARANÁ;1099;3279;34;3279;3317;12563;3178;99;12036;
MA;210870;PIO XII;1099;5945;18;5945;5503;23363;5011;108;21274;
PI;221062;SEBASTIÃO BARROS;11;1139;1;1139;992;4408;773;115;3434;
PI;220779;PAU D'ARCO DO PIAUÍ;11;992;1;992;968;3989;991;102;4084;
TO;170215;ARAGUANÃ;110;1197;9;1197;1163;4869;1399;103;5856;
MA;210470;GRAÇA ARANHA;110;1509;7;1509;1529;6094;1571;99;6261;
PB;251340;SANTA LUZIA;1102;4319;26;4319;4383;16152;4198;99;15470;
BA;290205;ARAÇAS;1103;3260;34;3260;2883;11177;3156;113;12237;
PR;411250;JARDIM ALEGRE;1103;3366;33;3366;3511;12599;3084;96;11067;
RS;430600;CRISSIUMAL;1103;3711;30;3711;3908;14378;3607;95;13269;
RS;430860;GARIBALDI;1103;3924;28;3924;3764;13009;10356;104;35794;
CE;230370;CAUCAIA;11038;83093;13;83093;73706;271498;100153;113;368918;
PB;250990;NATUBA;1104;2327;47;2327;2361;9351;2638;99;10449;
BA;290689;CARAÍBAS;1105;2628;42;2628;2655;10416;2207;99;8659;
SE;280750;TOMAR DO GERU;1105;3322;33;3322;3289;12661;3516;101;13534;
BA;291510;ITAGI;1105;3461;32;3461;3659;14088;3153;95;12140;
SC;420310;CAIBI;1108;1872;59;1872;1983;7169;1691;94;6112;
PI;220277;COLÔNIA DO PIAUÍ;1108;2021;55;2021;1963;7260;2073;103;7665;
SP;351910;IACANGA;1108;3683;30;3683;3465;14017;2967;106;12002;
BA;291350;IGUAÍ;1108;4441;25;4441;4268;17337;6649;104;27006;
RS;430530;CHAPADA;1109;2888;38;2888;3142;10671;2712;92;9211;
SP;351490;ELIAS FAUSTO;1109;5491;20;5491;5062;19219;4766;108;18095;
BA;292820;SANTANA;1109;6116;18;6116;6204;24034;6916;99;26792;
GO;520082;AMARALINA;111;1030;11;1030;1097;3916;1086;94;3875;
PA;150280;CURRALINHO;111;5199;2;5199;3669;20527;6351;142;35530;
GO;521220;JUSSARA;1110;6334;18;6334;6706;22763;5381;94;18266;
RJ;330550;SAQUAREMA;11106;25598;43;25598;23352;84589;25381;110;91938;
SE;280160;CEDRO DE SÃO JOÃO;1112;1696;66;1696;1594;6016;1571;106;5929;
CE;230365;CATUNDA;1112;2636;42;2636;2613;10540;2581;101;10410;
BA;291130;GENTIO DO OURO;1112;2905;38;2905;2761;11353;2744;105;11284;
BA;290940;COTEGIPE;1112;3240;34;3240;3163;12676;3432;102;13756;
MT;510060;ALTO TAQUARI;1112;3250;34;3250;2837;12736;2542;115;11413;
PB;250280;BREJO DO CRUZ;1112;3913;28;3913;3759;14248;3769;104;14287;
BA;290327;BARROCAS;1112;4642;24;4642;4448;17387;4151;104;16225;
PI;220010;AGRICOLÂNDIA;1113;1506;74;1506;1524;5839;1337;99;5123;
PI;220515;JACOBINA DO PIAUÍ;1113;1640;68;1640;1686;6132;1572;97;5718;
BA;292900;SÃO FÉLIX;1115;3903;29;3903;3780;12887;4336;103;14784;
MA;210690;MONÇÃO;1115;6122;18;6122;5696;25866;7462;107;33888;
SC;421880;TURVO;1116;3397;33;3397;3349;11572;3785;101;13080;
SP;350050;ÁGUAS DE LINDÓIA;1116;4661;24;4661;4370;15118;5466;107;18908;
PI;220865;QUEIMADA NOVA;1118;2497;45;2497;2635;10079;2364;95;9041;
MG;314830;PAULA CÂNDIDO;1118;2613;43;2613;2689;10136;2546;97;9597;
AL;270750;PORTO REAL DO COLÉGIO;1118;4875;23;4875;4757;18760;5111;102;20158;
MT;510562;MIRASSOL D'OESTE;1118;7773;14;7773;7501;27278;7737;104;28135;
MG;312880;GUIDOVAL;1119;2428;46;2428;2524;8876;1998;96;7026;
RN;240010;ACARI;1119;3338;34;3338;3372;12072;3102;99;11106;
BA;291040;ENCRUZILHADA;1119;4747;24;4747;4310;18334;3741;110;15914;
RS;431410;PASSO FUNDO;11198;47786;23;47786;46954;165477;58482;102;206103;
SC;420250;BOM JARDIM DA SERRA;112;1338;8;1338;1328;4955;1287;101;4801;
RO;110175;VALE DO ANARI;112;1912;6;1912;1782;6931;2969;107;11545;
PA;150070;ANAJÁS;112;4415;3;4415;3227;18128;5357;137;30091;
