Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
"Indicador: Proporção de pessoas com diabetes, com consulta e hemoglobina glicada solicitada no semestre"
Dados Preliminares:
Considerado apenas (eSF e eAP) válidas para o componente de desempenho
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2023 Q1 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
SP;352980;MINEIROS DO TIETÊ;0;1125;0;1125;1061;12337;8.6;106;13023;
MG;310310;ANTÔNIO PRADO DE MINAS;0;149;0;149;138;1723;8;108;1577;
MG;312460;ESTRELA DALVA;0;185;0;185;166;2072;8;111;2308;
RS;430063;AMARAL FERRADOR;0;353;0;353;403;4580;8.8;88;7136;
RS;431795;SANTO EXPEDITO DO SUL;0;211;0;137;211;2403;8.8;65;2287;
MG;314570;OLIVEIRA FORTES;0;220;0;220;182;2276;8;121;2128;
MG;315860;SANTANA DO DESERTO;0;225;0;225;266;3327;8;85;3985;
PR;412310;SANTA AMÉLIA;0;238;0;238;219;2848;7.7;109;3208;
MG;313080;INGAÍ;0;264;0;264;230;2880;8;115;2785;
SP;355640;VARGEM GRANDE DO SUL;0;2909;0;2909;3199;37202;8.6;91;43368;
RS;430066;ANDRÉ DA ROCHA;1;132;1;105;132;1499;8.8;80;1351;
RS;430485;CARLOS GOMES;1;152;1;75;152;1726;8.8;49;1327;
RS;432060;SEVERIANO DE ALMEIDA;0;370;0;269;370;4205;8.8;73;3607;
MG;312850;GUARARÁ;0;372;0;372;339;4235;8;110;3755;
SP;350040;ÁGUAS DA PRATA;0;538;0;538;455;5295;8.6;118;8262;
RS;431150;LAVRAS DO SUL;0;651;0;651;499;5671;8.8;130;7410;
MG;315930;SANTA RITA DE JACUTINGA;0;655;0;655;382;4771;8;171;4843;
MG;310250;AMPARO DO SERRA;0;670;0;670;362;4521;8;185;4643;
SP;354810;SANTO ANTÔNIO DO JARDIM;0;679;0;679;399;4641;8.6;170;5926;
GO;521225;LAGOA SANTA;0;79;0;79;90;1210;7.4;88;1652;
SP;350995;CANAS;1;451;0;316;451;5246;8.6;70;5268;
RS;431200;MARIANO MORO;1;175;1;175;198;2254;8.8;88;1987;
SP;350335;ARCO-ÍRIS;1;186;1;186;198;2306;8.6;94;1755;
RS;431775;SANTO ANTÔNIO DO PLANALTO;1;188;1;123;188;2135;8.8;65;2018;
SP;350275;ARAÇARIGUAMA;1;201;0;201;231;2685;8.6;87;23343;
RS;432370;VISTA GAÚCHA;1;273;0;134;273;3101;8.8;49;2858;
PR;412420;SANTO ANTÔNIO DO CAIUÁ;1;301;0;301;202;2623;7.7;149;2611;
RS;431125;LAGOÃO;1;387;0;170;387;4403;8.8;44;6469;
GO;520753;FAINA;1;408;0;408;433;5857;7.4;94;6527;
RS;431220;MAXIMILIANO DE ALMEIDA;1;411;0;328;411;4670;8.8;80;4254;
RN;241475;VENHA-VER;10;440;2;440;369;4188;8.8;119;4232;
SP;350115;ALUMÍNIO;1;627;0;627;531;6169;8.6;118;18903;
SP;350960;CAMPO LIMPO PAULISTA;1;632;0;632;675;7852;8.6;94;86407;
RN;240130;AUGUSTO SEVERO;1;708;0;481;708;8040;8.8;68;9686;
SP;350670;BOA ESPERANÇA DO SUL;1;944;0;944;821;9549;8.6;115;15111;
MG;314780;PASSA-VINTE;10;252;4;252;187;2343;8;135;2024;
MG;316640;SERITINGA;10;274;4;274;160;2003;8;171;1857;
